Forecast_Origin,Target_Date,Model,Prediction_Type,Actual,Predicted,n_raw_features,n_trans_features,n_sel_features,n_model_used_features
2012-02-29,2012-03-31,MIDASNowcast,conditional_nowcast,0.014902196808193935,0.011324504,145,145,145,145
2012-03-31,2012-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2012-04-30,2012-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2012-05-31,2012-06-30,MIDASNowcast,conditional_nowcast,0.0029047217551756432,0.009513631,145,145,145,145
2012-06-30,2012-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2012-07-31,2012-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2012-08-31,2012-09-30,MIDASNowcast,conditional_nowcast,0.02268038982230358,0.010944889,145,145,145,145
2012-09-30,2012-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2012-10-31,2012-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2012-11-30,2012-12-31,MIDASNowcast,conditional_nowcast,0.006160156372081893,0.010291166,145,145,145,145
2012-12-31,2013-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2013-01-31,2013-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2013-02-28,2013-03-31,MIDASNowcast,conditional_nowcast,0.00597269892372676,0.009135781,145,145,145,145
2013-03-31,2013-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2013-04-30,2013-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2013-05-31,2013-06-30,MIDASNowcast,conditional_nowcast,0.010959805881161522,0.010418643,145,145,145,145
2013-06-30,2013-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2013-07-31,2013-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2013-08-31,2013-09-30,MIDASNowcast,conditional_nowcast,0.014050740315322052,0.009865397,145,145,145,145
2013-09-30,2013-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2013-10-31,2013-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2013-11-30,2013-12-31,MIDASNowcast,conditional_nowcast,0.008341759063761778,0.00990781,145,145,145,145
2013-12-31,2014-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2014-01-31,2014-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2014-02-28,2014-03-31,MIDASNowcast,conditional_nowcast,0.011840672263159213,0.010769746,145,145,145,145
2014-03-31,2014-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2014-04-30,2014-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2014-05-31,2014-06-30,MIDASNowcast,conditional_nowcast,0.008526458785761193,0.009443079,145,145,145,145
2014-06-30,2014-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2014-07-31,2014-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2014-08-31,2014-09-30,MIDASNowcast,conditional_nowcast,0.004298466337084861,0.008833721,145,145,145,145
2014-09-30,2014-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2014-10-31,2014-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2014-11-30,2014-12-31,MIDASNowcast,conditional_nowcast,0.0026067191701839576,0.008683443,145,145,145,145
