Forecast_Origin,Target_Date,Model,Prediction_Type,Actual,Predicted,n_raw_features,n_trans_features,n_sel_features,n_model_used_features
2010-06-30,2010-07-31,ElasticNetNowcast,conditional_nowcast,,0.011083228844857245,287,287,287,287
2010-07-31,2010-08-31,ElasticNetNowcast,conditional_nowcast,,0.007058362398610002,287,287,287,287
2010-08-31,2010-09-30,ElasticNetNowcast,conditional_nowcast,0.0045017346013507265,0.014036041691419497,287,287,287,287
2010-09-30,2010-10-31,ElasticNetNowcast,conditional_nowcast,,0.012097579544961072,287,287,287,287
2010-10-31,2010-11-30,ElasticNetNowcast,conditional_nowcast,,0.030006398581136007,287,287,287,287
2010-11-30,2010-12-31,ElasticNetNowcast,conditional_nowcast,0.01616451396050067,0.028163447794392685,287,287,287,287
2010-12-31,2011-01-31,ElasticNetNowcast,conditional_nowcast,,0.014007049626153656,287,287,287,287
2011-01-31,2011-02-28,ElasticNetNowcast,conditional_nowcast,,0.015678467040620855,287,287,287,287
2011-02-28,2011-03-31,ElasticNetNowcast,conditional_nowcast,0.029207156684403657,0.01673508358840998,287,287,287,287
2011-03-31,2011-04-30,ElasticNetNowcast,conditional_nowcast,,0.01747216096957436,287,287,287,287
2011-04-30,2011-05-31,ElasticNetNowcast,conditional_nowcast,,0.016754095705749636,287,287,287,287
2011-05-31,2011-06-30,ElasticNetNowcast,conditional_nowcast,0.019333146536267165,0.01524114522233567,287,287,287,287
2011-06-30,2011-07-31,ElasticNetNowcast,conditional_nowcast,,0.010278758530136049,287,287,287,287
2011-07-31,2011-08-31,ElasticNetNowcast,conditional_nowcast,,0.015447967600417868,287,287,287,287
2011-08-31,2011-09-30,ElasticNetNowcast,conditional_nowcast,-0.002459748693606656,0.016905453893675603,287,287,287,287
2011-09-30,2011-10-31,ElasticNetNowcast,conditional_nowcast,,0.008050493471498478,287,287,287,287
2011-10-31,2011-11-30,ElasticNetNowcast,conditional_nowcast,,0.009447560747080466,287,287,287,287
2011-11-30,2011-12-31,ElasticNetNowcast,conditional_nowcast,0.012303679510205612,0.0023591855168941522,287,287,287,287
2011-12-31,2012-01-31,ElasticNetNowcast,conditional_nowcast,,0.013524016813003253,287,287,287,287
2012-01-31,2012-02-29,ElasticNetNowcast,conditional_nowcast,,0.0137492168279201,287,287,287,287
2012-02-29,2012-03-31,ElasticNetNowcast,conditional_nowcast,0.014902196808193935,0.0214106193572397,287,287,287,287
2012-03-31,2012-04-30,ElasticNetNowcast,conditional_nowcast,,-0.0012377601243143844,287,287,287,287
2012-04-30,2012-05-31,ElasticNetNowcast,conditional_nowcast,,-0.0011728862722501284,287,287,287,287
2012-05-31,2012-06-30,ElasticNetNowcast,conditional_nowcast,0.0029047217551756432,-0.0018118409386125665,287,287,287,287
2012-06-30,2012-07-31,ElasticNetNowcast,conditional_nowcast,,0.012272403174437575,287,287,287,287
2012-07-31,2012-08-31,ElasticNetNowcast,conditional_nowcast,,0.0059908242879736905,287,287,287,287
2012-08-31,2012-09-30,ElasticNetNowcast,conditional_nowcast,0.02268038982230358,0.01329561171910066,287,287,287,287
2012-09-30,2012-10-31,ElasticNetNowcast,conditional_nowcast,,0.01144915718960839,287,287,287,287
2012-10-31,2012-11-30,ElasticNetNowcast,conditional_nowcast,,0.010832569609155683,287,287,287,287
2012-11-30,2012-12-31,ElasticNetNowcast,conditional_nowcast,0.006160156372081893,0.011177975955555449,287,287,287,287
2012-12-31,2013-01-31,ElasticNetNowcast,conditional_nowcast,,0.011002142606841002,287,287,287,287
2013-01-31,2013-02-28,ElasticNetNowcast,conditional_nowcast,,0.00985402810677575,287,287,287,287
2013-02-28,2013-03-31,ElasticNetNowcast,conditional_nowcast,0.00597269892372676,0.0056750236910868375,287,287,287,287
2013-03-31,2013-04-30,ElasticNetNowcast,conditional_nowcast,,0.011743494062479504,287,287,287,287
2013-04-30,2013-05-31,ElasticNetNowcast,conditional_nowcast,,0.012646109441284015,287,287,287,287
2013-05-31,2013-06-30,ElasticNetNowcast,conditional_nowcast,0.010959805881161522,0.013521150652164395,287,287,287,287
2013-06-30,2013-07-31,ElasticNetNowcast,conditional_nowcast,,0.015238243631394945,287,287,287,287
2013-07-31,2013-08-31,ElasticNetNowcast,conditional_nowcast,,0.014784249542030092,287,287,287,287
2013-08-31,2013-09-30,ElasticNetNowcast,conditional_nowcast,0.014050740315322052,0.014348473208884216,287,287,287,287
2013-09-30,2013-10-31,ElasticNetNowcast,conditional_nowcast,,0.012301818041661564,287,287,287,287
