number,value,datetime_start,datetime_complete,duration,params_corr_top_n_k,params_elasticnet_alpha,params_elasticnet_l1,params_enet_cv,params_enet_fill,params_enet_l1_ratio,params_enet_max_iter,params_fa_comp,params_fast_screen_k,params_lasso_alpha,params_lgbm_alpha,params_lgbm_colsample,params_lgbm_lambda,params_lgbm_lr,params_lgbm_max_depth,params_lgbm_min_child,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_subsample,params_model,params_pca_comp,params_selector,params_step_size,params_train_window,params_variance_threshold,user_attrs_error_message,user_attrs_eval_mode,user_attrs_mae,user_attrs_mape,user_attrs_model,user_attrs_model_params,user_attrs_n_eval_points,user_attrs_n_features_input,user_attrs_n_features_used,user_attrs_n_folds,user_attrs_n_model_used_vars,user_attrs_n_raw_features,user_attrs_n_sel_features,user_attrs_n_trans_features,user_attrs_rmse,user_attrs_runtime_sec,user_attrs_seed,user_attrs_selector_method,user_attrs_selector_params,user_attrs_status,user_attrs_step_size,user_attrs_train_window,user_attrs_window_type,state
21,0.006383718521407314,2026-04-21 10:15:19.913104,2026-04-21 10:15:28.687659,0 days 00:00:08.774555,,,,3.0,zero,0.37086912754924395,2000.0,,,,,,,,,,,,,elasticnet,,none,3,80,,,common_frequency,0.004642719352008945,108.87483866709687,elasticnet,"{""l1_ratio"": 0.37086912754924395, ""cv"": 3, ""max_iter"": 2000, ""fill_strategy"": ""zero""}",30,287,287,10,287,287,287,287,0.006383718521407314,3.32,123,none,{},success,3,80,expanding,COMPLETE
22,0.007287325035046817,2026-04-21 10:15:21.172748,2026-04-21 10:15:32.724871,0 days 00:00:11.552123,,,,3.0,zero,0.37365337827343403,2000.0,,,,,,,,,,,,,elasticnet,20.0,pca,3,100,,,common_frequency,0.0054020429220515975,108.75904159935482,elasticnet,"{""l1_ratio"": 0.37365337827343403, ""cv"": 3, ""max_iter"": 2000, ""fill_strategy"": ""zero""}",30,287,287,10,20,287,20,287,0.007287325035046817,2.87,123,pca,"{""n_components"": 20}",success,3,100,expanding,COMPLETE
23,0.00631184693421328,2026-04-21 10:15:28.108961,2026-04-21 10:16:06.390873,0 days 00:00:38.281912,,,,3.0,zero,0.28996811601461636,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,1.2860596588762834e-06,,common_frequency,0.0045711598861334765,107.34556531670383,elasticnet,"{""l1_ratio"": 0.28996811601461636, ""cv"": 3, ""max_iter"": 1000, ""fill_strategy"": ""zero""}",30,287,287,30,287,287,287,287,0.00631184693421328,31.12,123,variance_filter,"{""threshold"": 1.2860596588762834e-06}",success,1,60,expanding,COMPLETE
24,0.00515925692426162,2026-04-21 10:15:29.282023,2026-04-21 10:16:27.363124,0 days 00:00:58.081101,,,,5.0,mean,0.24784909055445117,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,1.1019078035750056e-06,,common_frequency,0.004088960632380649,106.22508859695867,elasticnet,"{""l1_ratio"": 0.24784909055445117, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,287,287,287,287,0.00515925692426162,47.99,123,variance_filter,"{""threshold"": 1.1019078035750056e-06}",success,1,60,expanding,COMPLETE
25,0.005159241521138091,2026-04-21 10:15:31.127473,2026-04-21 10:16:30.012499,0 days 00:00:58.885026,,,,5.0,mean,0.24755639190122253,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,1.3799425417602076e-06,,common_frequency,0.004088937894478282,106.22452489933387,elasticnet,"{""l1_ratio"": 0.24755639190122253, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,287,287,287,287,0.005159241521138091,49.2,123,variance_filter,"{""threshold"": 1.3799425417602076e-06}",success,1,60,expanding,COMPLETE
26,0.005159460525803279,2026-04-21 10:15:34.082144,2026-04-21 10:16:30.938210,0 days 00:00:56.856066,,,,5.0,mean,0.2531468167282317,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,1.3697916571325968e-06,,common_frequency,0.00408925517208888,106.23222584461254,elasticnet,"{""l1_ratio"": 0.2531468167282317, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,287,287,287,287,0.005159460525803279,48.63,123,variance_filter,"{""threshold"": 1.3697916571325968e-06}",success,1,60,expanding,COMPLETE
27,0.005210341953568283,2026-04-21 10:16:06.608445,2026-04-21 10:16:48.660141,0 days 00:00:42.051696,,,,5.0,mean,0.6978078529625755,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,1.2311477506885626e-06,,common_frequency,0.004127249087277349,106.75832356241763,elasticnet,"{""l1_ratio"": 0.6978078529625755, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,287,287,287,287,0.005210341953568283,37.42,123,variance_filter,"{""threshold"": 1.2311477506885626e-06}",success,1,60,expanding,COMPLETE
28,0.005285742404573947,2026-04-21 10:16:27.494678,2026-04-21 10:17:47.967619,0 days 00:01:20.472941,,,,5.0,mean,0.7114379780950942,5000.0,,88.0,,,,,,,,,,,elasticnet,,fast_screen,1,60,,,common_frequency,0.004159549023848546,94.11902740978218,elasticnet,"{""l1_ratio"": 0.7114379780950942, ""cv"": 5, ""max_iter"": 5000, ""fill_strategy"": ""mean""}",30,287,287,30,88,287,88,287,0.005285742404573947,74.56,123,fast_screen,"{""top_n"": 88}",success,1,60,expanding,COMPLETE
29,0.005274172154777249,2026-04-21 10:16:31.559156,2026-04-21 10:18:01.765491,0 days 00:01:30.206335,,,,5.0,mean,0.5501715318600799,5000.0,,91.0,,,,,,,,,,,elasticnet,,fast_screen,1,100,,,common_frequency,0.004026855843427351,89.20743659652454,elasticnet,"{""l1_ratio"": 0.5501715318600799, ""cv"": 5, ""max_iter"": 5000, ""fill_strategy"": ""mean""}",30,287,287,30,91,287,91,287,0.005274172154777249,80.5,123,fast_screen,"{""top_n"": 91}",success,1,100,expanding,COMPLETE
30,0.005332539356566645,2026-04-21 10:16:31.848108,2026-04-21 10:17:53.889355,0 days 00:01:22.041247,,,,5.0,mean,0.7172519291280665,5000.0,,89.0,,,,,,,,,,,elasticnet,,fast_screen,1,100,,,common_frequency,0.004139082968873218,92.93937527190239,elasticnet,"{""l1_ratio"": 0.7172519291280665, ""cv"": 5, ""max_iter"": 5000, ""fill_strategy"": ""mean""}",30,287,287,30,89,287,89,287,0.005332539356566645,76.88,123,fast_screen,"{""top_n"": 89}",success,1,100,expanding,COMPLETE
31,0.005333255197819486,2026-04-21 10:16:48.836904,2026-04-21 10:18:02.122004,0 days 00:01:13.285100,,,,5.0,mean,0.4935591321786498,5000.0,,89.0,,,,,,,,,,,elasticnet,,fast_screen,1,100,,,common_frequency,0.004140701950939807,92.99517792095091,elasticnet,"{""l1_ratio"": 0.4935591321786498, ""cv"": 5, ""max_iter"": 5000, ""fill_strategy"": ""mean""}",30,287,287,30,89,287,89,287,0.005333255197819486,68.55,123,fast_screen,"{""top_n"": 89}",success,1,100,expanding,COMPLETE
32,0.008344496623733976,2026-04-21 10:17:48.098807,2026-04-21 10:18:01.243936,0 days 00:00:13.145129,,,,5.0,mean,0.5725550453804041,2000.0,,,0.0002183250722660755,,,,,,,,,,elasticnet,,lasso,3,100,,,common_frequency,0.0071354342094949955,165.8460479717887,elasticnet,"{""l1_ratio"": 0.5725550453804041, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""mean""}",30,287,287,10,69,287,69,287,0.008344496623733976,5.5,123,lasso,"{""alpha"": 0.0002183250722660755}",success,3,100,expanding,COMPLETE
33,0.010009951966100184,2026-04-21 10:17:59.385451,2026-04-21 10:18:09.755997,0 days 00:00:10.370546,,,,5.0,median,0.514713209618117,2000.0,,,0.0001981523981471677,,,,,,,,,,elasticnet,,lasso,3,120,,,common_frequency,0.007833834996869212,170.70340387627803,elasticnet,"{""l1_ratio"": 0.514713209618117, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""median""}",30,287,287,10,71,287,71,287,0.010009951966100184,3.55,123,lasso,"{""alpha"": 0.0001981523981471677}",success,3,120,expanding,COMPLETE
34,0.005199324571066075,2026-04-21 10:18:02.221841,2026-04-21 10:18:58.931735,0 days 00:00:56.709894,,,,5.0,mean,0.1672662608008741,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,1.258882296501348e-05,,common_frequency,0.004163974243253826,106.41743837991051,elasticnet,"{""l1_ratio"": 0.1672662608008741, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,263,287,263,287,0.005199324571066075,47.18,123,variance_filter,"{""threshold"": 1.258882296501348e-05}",success,1,60,expanding,COMPLETE
35,0.005334462755982502,2026-04-21 10:18:02.828980,2026-04-21 10:19:00.464659,0 days 00:00:57.635679,,,,5.0,mean,0.17686972958525304,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,1.544744065253502e-05,,common_frequency,0.004336524075643446,110.28144924208564,elasticnet,"{""l1_ratio"": 0.17686972958525304, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,258,287,258,287,0.005334462755982502,47.59,123,variance_filter,"{""threshold"": 1.544744065253502e-05}",success,1,60,expanding,COMPLETE
36,0.005328154795307783,2026-04-21 10:18:02.124461,2026-04-21 10:19:02.862533,0 days 00:01:00.738072,,,,5.0,mean,0.16306167046921854,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,1.5262884760242176e-05,,common_frequency,0.004308843149468566,109.65392286181257,elasticnet,"{""l1_ratio"": 0.16306167046921854, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,258,287,258,287,0.005328154795307783,48.28,123,variance_filter,"{""threshold"": 1.5262884760242176e-05}",success,1,60,expanding,COMPLETE
37,0.005197295446403434,2026-04-21 10:18:09.883940,2026-04-21 10:19:05.312712,0 days 00:00:55.428772,,,,5.0,mean,0.1519632895460467,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,1.375913513026252e-05,,common_frequency,0.004160987903032048,106.34392781554325,elasticnet,"{""l1_ratio"": 0.1519632895460467, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,260,287,260,287,0.005197295446403434,45.66,123,variance_filter,"{""threshold"": 1.375913513026252e-05}",success,1,60,expanding,COMPLETE
38,0.00706775467734286,2026-04-21 10:18:59.051927,2026-04-21 10:19:15.086988,0 days 00:00:16.035061,,,,5.0,mean,0.18957710442153658,1000.0,,,,,,,,,,,,,elasticnet,3.0,pca,1,60,,,common_frequency,0.006006165537330189,121.94411048495546,elasticnet,"{""l1_ratio"": 0.18957710442153658, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,3,287,3,287,0.00706775467734286,8.98,123,pca,"{""n_components"": 3}",success,1,60,expanding,COMPLETE
39,0.011889158220867299,2026-04-21 10:19:03.158000,2026-04-21 10:19:39.056043,0 days 00:00:35.898043,,,,,,,,,,,0.0001766434245043617,0.5047794154183385,0.6766660700245823,0.029022777064779133,-1.0,7.0,478.0,63.0,0.9960436368330509,lightgbm,2.0,pca,1,60,,,common_frequency,0.01037412524501803,200.38460312729677,lightgbm,"{""n_estimators"": 478, ""learning_rate"": 0.029022777064779133, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 7, ""subsample"": 0.9960436368330509, ""colsample_bytree"": 0.5047794154183385, ""reg_alpha"": 0.0001766434245043617, ""reg_lambda"": 0.6766660700245823}",30,287,287,30,2,287,2,287,0.011889158220867299,18.45,123,pca,"{""n_components"": 2}",success,1,60,expanding,COMPLETE
